Таблица (в сек) (Выбор 2)
   Длина|     stand|1     стр.|1    стол.|2     стр.|2    стол.|4     стр.|4    стол.|8     стр.|8    стол.|16    стр.|16   стол.|32    стр.|32   стол.
     100|  0.000079|  0.000067|  0.000065|  0.000064|  0.000064|  0.000087|  0.000088|  0.000196|  0.000198|  0.000412|  0.000443|  0.000839|  0.000855
     200|  0.000168|  0.000199|  0.000194|  0.000126|  0.000126|  0.000138|  0.000133|  0.000239|  0.000249|  0.000447|  0.000467|  0.000898|  0.000914
     300|  0.000358|  0.000414|  0.000411|  0.000232|  0.000228|  0.000207|  0.000252|  0.000332|  0.000383|  0.000495|  0.000507|  0.000946|  0.001039
     400|  0.000639|  0.000693|  0.000719|  0.000364|  0.000376|  0.000319|  0.000351|  0.000558|  0.000645|  0.000577|  0.000771|  0.001022|  0.001075
     500|  0.000997|  0.001057|  0.001052|  0.000543|  0.000544|  0.000459|  0.000518|  0.000760|  0.000920|  0.000738|  0.001063|  0.000999|  0.001463
     600|  0.001441|  0.001504|  0.001496|  0.000777|  0.000792|  0.000626|  0.000685|  0.001003|  0.001317|  0.000893|  0.001630|  0.001138|  0.002116
     700|  0.001963|  0.002028|  0.002017|  0.001045|  0.001073|  0.000840|  0.000927|  0.001293|  0.001749|  0.001198|  0.002155|  0.001382|  0.002990
     800|  0.002572|  0.002636|  0.002618|  0.001334|  0.001403|  0.001135|  0.001197|  0.001735|  0.002156|  0.001383|  0.002923|  0.001621|  0.004061
     900|  0.003254|  0.003320|  0.003301|  0.001698|  0.001783|  0.001297|  0.001509|  0.001992|  0.002516|  0.001661|  0.003670|  0.001910|  0.005182
    1000|  0.004030|  0.004085|  0.004085|  0.002068|  0.002152|  0.001608|  0.001856|  0.002247|  0.003022|  0.002117|  0.004611|  0.002243|  0.006299
